longname,hashname
6.3.5.3: Phosphoribosylformylglycinamidine synthase,WxmDCAoFtotj
3.1.1.31: 6-phosphogluconolactonase,RByKhMGEQyGH
4.2.1.106: Bile-acid 7-alpha-dehydratase,RlLHsjbdAiQU
4.2.1.85: Dimethylmaleate hydratase,FDUUIwysQMkO
3.5.4.4: Adenosine deaminase,WlOxGUMFGscV
4.2.1.17: Enoyl-CoA hydratase,OOqASoAEbwYn
6.1.1.18: Glutamine--tRNA ligase,vdDbIMUuuUDD
2.1.1.242: 16S rRNA (guanine(1516)-N(2))-methyltransferase,KonLpvQgfJSn
3.2.2.19: [Protein ADP-ribosylarginine] hydrolase,CgrEReCBPkYX
1.1.99.11: Fructose 5-dehydrogenase,lQrIaArXZWzI
4.1.1.33: Diphosphomevalonate decarboxylase,zmnkvTWHjXwb
4.1.2.21: 2-dehydro-3-deoxy-6-phosphogalactonate aldolase,thGGoQOlfBaM
4.1.1.95: L-glutamyl-[BtrI acyl-carrier protein] decarboxylase,YIaNpVuFzrGC
2.1.2.1: Glycine hydroxymethyltransferase,dXhncVdKyoYC
2.1.4.2: Scyllo-inosamine-4-phosphate amidinotransferase,zTgoDflUyhlF
3.8.1.3: Haloacetate dehalogenase,smWyEeDxczAq
3.2.1.31: Beta-glucuronidase,wKFnoxNUXExc
1.14.13.239: NO_NAME,PaBaIIAZvwsV
1.4.99.6: D-arginine dehydrogenase,DKHZvRjIzrdh
4.1.1.82: Phosphonopyruvate decarboxylase,cmJniLxXItpj
2.1.1.224: 23S rRNA (adenine(2503)-C(8))-methyltransferase,fiWrUlDMiyuP
1.2.1.32: Aminomuconate-semialdehyde dehydrogenase,CpZdTyICYTxu
3.1.26.4: Ribonuclease H,KLjpINlAXPpA
6.2.1.17: Propionate--CoA ligase,UfLLZpstuDrd
4.2.3.5: Chorismate synthase,iFGdCHRsbXor
2.1.3.6: Putrescine carbamoyltransferase,wOWogBnAtlWt
1.1.1.52: 3-alpha-hydroxycholanate dehydrogenase,vSyNyhTQuPSk
2.7.1.29: Glycerone kinase,OflcNSAhTMYe
2.4.1.5: Dextransucrase,tSUQrdQhxEoW
3.1.11.5: Exodeoxyribonuclease V,PmandVqcKIkA
2.8.3.25: NO_NAME,vJndatrifOrr
1.13.11.54: Acireductone dioxygenase (Fe(2+)-requiring),uDUpywIfjwFp
6.2.1.48: NO_NAME,xGyOqVprRxhr
1.2.99.3: Transferred entry: 1.2.5.2,nDJEjvREksXj
1.1.1.298: 3-hydroxypropionate dehydrogenase (NADP(+)),XRzSihJxMEhi
2.6.1.2: Alanine transaminase,uAAlSkZRjSZJ
1.1.1.251: Galactitol-1-phosphate 5-dehydrogenase,AJFoFxqTSBqg
"5.1.3.13: dTDP-4-dehydrorhamnose 3,5-epimerase",XXPMjtPYYizh
6.3.5.2: GMP synthase (glutamine-hydrolyzing),bZlpbepaYvpe
1.1.1.392: NO_NAME,yXqmykevkSmG
"2.5.1.74: 1,4-dihydroxy-2-naphthoate polyprenyltransferase",iapPbCRAOzpp
2.3.1.41: Beta-ketoacyl-[acyl-carrier-protein] synthase I,NoPyDTtnIMKX
4.1.3.3: N-acetylneuraminate lyase,FxNXiCauKvoO
4.2.2.10: Pectin lyase,CWJyPPlishly
2.1.1.223: tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase,dqAPDtNlPWdW
5.4.2.1: Transferred entry: 5.4.2.11 and 5.4.2.12,PCdtZuZzEyKj
2.7.12.2: Mitogen-activated protein kinase kinase,YaSVGMtUgGNS
4.1.2.22: Fructose-6-phosphate phosphoketolase,nxxeegmhqTxs
4.2.1.44: Myo-inosose-2 dehydratase,LsKbTJtHwaYn
1.1.99.31: (S)-mandelate dehydrogenase,NMJOZAOYxnLH
3.6.3.41: Heme-transporting ATPase,nZekWyMROsac
6.3.2.1: Pantoate--beta-alanine ligase (AMP-forming),XNGxZFrsYxzy
2.7.14.1: Protein arginine kinase,VXTrQPuzhYSp
1.2.3.3: Pyruvate oxidase,rSwtCoIZDDoX
1.14.13.81: Magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase,nxXwYShVdbcs
7.6.2.2: NO_NAME,LxrqiyocZWkP
3.4.21.92: Endopeptidase Clp,OgvDQzLSQqJa
5.4.99.2: Methylmalonyl-CoA mutase,gvOFPTxJafRx
2.1.1.10: Homocysteine S-methyltransferase,GNSuhVhwPqNL
3.5.1.59: N-carbamoylsarcosine amidase,RoXcvUeyDCal
6.3.2.4: D-alanine--D-alanine ligase,mvMsQUvTyijI
"1.1.1.4: (R,R)-butanediol dehydrogenase",zPnfrIjCDbrV
2.4.1.175: acetylgalactosaminyltransferase,leuwkXsfMZuf
2.7.7.47: Streptomycin 3''-adenylyltransferase,btVYUhqHszyb
1.2.1.70: Glutamyl-tRNA reductase,RlzWSWzlCbKC
2.4.2.22: Xanthine phosphoribosyltransferase,RfbLpcmyMmcB
6.1.1.1: Tyrosine--tRNA ligase,HVgXLAojxYWB
2.4.1.180: Lipopolysaccharide N-acetylmannosaminouronosyltransferase,nJSciVzeahkW
"1.3.1.87: 3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase",ShovKZGVSTzA
3.4.24.70: Oligopeptidase A,qWjxTDfDhbfk
3.6.1.25: Triphosphatase,MowIBxNZmHno
6.3.1.2: Glutamate--ammonia ligase,xBEYDSUZppyQ
1.1.1.391: NO_NAME,iwDHrVcRTKhq
4.1.2.9: Phosphoketolase,rVnylrqjVFfT
1.1.1.135: GDP-6-deoxy-D-talose 4-dehydrogenase,thDIAXxaHPxy
1.3.1.8: Acyl-CoA dehydrogenase (NADP(+)),AihErqvftVUI
6.3.2.2: Glutamate--cysteine ligase,GmYBgTsPBSBk
4.2.2.n2: Peptidoglycan lytic endotransglycosylase,TmxnxaiYFCEw
2.4.1.298: Anthocyanidin 3-O-glucoside 5-O-glucosyltransferase,MaZUuATlmMlt
"2.3.1.245: 3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase",rHJpIFFnygcs
3.1.2.12: S-formylglutathione hydrolase,bbnCIvsJldLC
3.2.1.92: Peptidoglycan beta-N-acetylmuramidase,KrCucnBsYOGw
6.3.4.20: 7-cyano-7-deazaguanine synthase,EzIAGEJFVVUK
1.3.99.4: 3-oxosteroid 1-dehydrogenase,JmlQsuFFGEJq
"2.1.1.56:  ;  Q06996, L_SENDF    ;  O55528, L_SENDO",XrIZEosxIGfW
4.1.2.51: 2-dehydro-3-deoxy-D-gluconate aldolase,kpKBuQSMeOvm
1.14.14.9: 4-hydroxyphenylacetate 3-monooxygenase,LngpAYUhZnsz
1.2.7.1: Pyruvate synthase,RZHuWLhLGMou
3.5.3.8: Formimidoylglutamase,bLMPjZmKeLBr
2.4.1.290: acetylgalactosaminyltransferase,zPYuKlFFrYDx
1.5.1.38: FMN reductase (NADPH),yxZqTwDZzwJS
2.7.1.59: N-acetylglucosamine kinase,wdLOhDgYUYbN
1.1.1.304: Diacetyl reductase ((S)-acetoin forming),qzvHVeiwovDw
3.8.1.7: 4-chlorobenzoyl-CoA dehalogenase,hnDEOFOpvghY
2.5.1.19: 3-phosphoshikimate 1-carboxyvinyltransferase,FqpRcHlIsOwK
3.4.24.30: Coccolysin,ZcFqENpgmnSx
1.10.2.2: Quinol--cytochrome-c reductase,SIfJByEiwSjg
1.1.1.311: (S)-1-phenylethanol dehydrogenase,GrJbvzevbGjX
1.7.2.3: Trimethylamine-N-oxide reductase (cytochrome c),etqfXduGbLuN
3.2.1.177: Alpha-D-xyloside xylohydrolase,nuvfdMrkjwPX
2.3.1.39: [Acyl-carrier-protein] S-malonyltransferase,kFlhtTRpvUli
UNGROUPED,YSWupXywkVyA
5.4.99.9: UDP-galactopyranose mutase,LzmTQTRSVOag
2.3.1.129: Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,RQTadCQJrEkb
1.1.1.276: Serine 3-dehydrogenase (NADP(+)),TJneTheZcczB
1.3.8.1: Short-chain acyl-CoA dehydrogenase,NGFNBPwszdNw
1.1.1.130: 3-dehydro-L-gulonate 2-dehydrogenase,xpzQPAJYGOnj
1.5.1.5: Methylenetetrahydrofolate dehydrogenase (NADP(+)),ViKFmVbcxpVT
2.1.2.9: Methionyl-tRNA formyltransferase,bOMHcTWfWhVS
6.1.1.12: Aspartate--tRNA ligase,iSyIyTLBrsQX
2.6.99.2: Pyridoxine 5'-phosphate synthase,wMGAabLNMbgV
"3.1.3.82: D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase",TlHkiZWzshZo
2.8.2.22: Aryl-sulfate sulfotransferase,kkHNdVwjfspQ
3.6.1.19: Nucleoside-triphosphate diphosphatase,kyPoaIIwiMRn
3.5.1.19: Nicotinamidase,DXRMdohvFFqd
2.7.7.21: Transferred entry: 2.7.7.72,LVkhjHyRrcmk
2.7.6.1: Ribose-phosphate diphosphokinase,UWVRPFVftNNV
2.4.1.83: Dolichyl-phosphate beta-D-mannosyltransferase,XtdPgdjNZfKv
2.7.13.3: Histidine kinase,mpnuheGhgVuB
4.3.1.15: Diaminopropionate ammonia-lyase,yLRIsicdrbKg
3.4.15.6: Cyanophycinase,hOvhADJpMISW
3.1.26.12: Ribonuclease E,eyPfBhmbgcku
3.1.3.27: Phosphatidylglycerophosphatase,pjgbyOtLfEuf
3.4.11.7: Glutamyl aminopeptidase,eFvbXQwQzCtz
3.5.1.77: N-carbamoyl-D-amino-acid hydrolase,CEccHJWOSOQO
2.3.1.200: Lipoyl amidotransferase,CzxtVvTdRkLP
"2.1.1.234: N,N-dimethyltransferase",sTXFYqksIwnf
1.1.1.80: Isopropanol dehydrogenase (NADP(+)),wINtxOVRGLos
2.1.1.170: 16S rRNA (guanine(527)-N(7))-methyltransferase,ItQbKrMrPhBC
2.3.2.29: NO_NAME,CNUHmFhrbGuG
1.4.1.9: Leucine dehydrogenase,sAsSPRaAPbhS
4.1.3.6: Citrate (pro-3S)-lyase,kWplYVSyVvHi
1.4.1.3: Glutamate dehydrogenase (NAD(P)(+)),DrEnSkmspZif
"3.1.1.57: 2-pyrone-4,6-dicarboxylate lactonase",okWhmRjdRlHS
1.1.1.69: Gluconate 5-dehydrogenase,fcXqRAoRodIi
4.2.1.118: 3-dehydroshikimate dehydratase,nmWsLzEZkLHM
2.1.1.181: 23S rRNA (adenine(1618)-N(6))-methyltransferase,DDcKWqKrkKfT
2.3.1.101: Formylmethanofuran--tetrahydromethanopterin N-formyltransferase,diQqNiESGlpL
2.7.1.168: D-glycero-alpha-D-manno-heptose-7-phosphate kinase,luaqGuoNqwYQ
2.7.1.47: D-ribulokinase,bIKoCEtTcSXF
3.1.1.32: Phospholipase A(1),pcnMplNjHZCA
2.8.3.21: L-carnitine CoA-transferase,ejVooypAlowc
3.5.1.104: Peptidoglycan-N-acetylglucosamine deacetylase,uoDlgiHMFffd
3.6.3.40: Teichoic-acid-transporting ATPase,YWZyhutEuUUg
1.3.1.6: Fumarate reductase (NADH),plpCjHCZZfUN
2.3.1.193: tRNA(Met) cytidine acetyltransferase,jkVcEFqmsdSB
"2.4.1.251: diphospho-ditrans,octacis-undecaprenol 4-beta-mannosyltransferase",ILniWeXcIyor
2.3.1.109: Arginine N-succinyltransferase,OMIzPhsmQcss
2.1.1.294: 3-phospho-methyltransferase,ZeEJJBUJTOWA
3.2.1.11: Dextranase,FMhwkSPDrYEo
1.1.1.370: Scyllo-inositol 2-dehydrogenase (NAD(+)),LngJTfPClliG
3.4.21.110: C5a peptidase,nFYvemWkkzxH
2.4.99.19: Undecaprenyl-diphosphooligosaccharide--protein glycotransferase,TMJpWnxGRKpo
"2.7.11.33: [Pyruvate, water dikinase] kinase",mKBHKAEnqikS
"6.3.2.13: UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",RvmJYilZCyce
2.7.1.19: Phosphoribulokinase,DFgdDbhtdjjm
2.4.1.73: Lipopolysaccharide glucosyltransferase II,vQTrNLtJXeBn
2.7.8.36: transferase,kYFWPXubgCwK
3.6.5.n1: Elongation factor 4,eoTpjAZRqrOw
2.3.1.48: Histone acetyltransferase,YYNLhexYvqMf
3.5.4.31: S-methyl-5'-thioadenosine deaminase,qPaiOMDUajWL
2.6.1.21: D-amino-acid transaminase,GqyqIiBJQoWX
2.7.1.145: Deoxynucleoside kinase,riwhTFcGhaQu
2.3.1.38: [Acyl-carrier-protein] S-acetyltransferase,hdjBJFWOAArc
3.2.1.86: 6-phospho-beta-glucosidase,ihFeToVdvgQw
2.7.1.160: 2'-phosphotransferase,wcRTtTzmBDcB
1.2.1.27: Methylmalonate-semialdehyde dehydrogenase (CoA acylating),OnENDLfkBuEu
3.6.3.39: Lipopolysaccharide-transporting ATPase,lfkawRJnLPOz
2.6.1.62: Adenosylmethionine--8-amino-7-oxononanoate transaminase,ynbfcihhGuCG
3.1.3.4: Phosphatidate phosphatase,DAChpyRtjgrU
"2.1.1.235: dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose N,N-dimethyltransferase",lwUWCDenKbRI
2.8.1.8: Lipoyl synthase,yRDwFGDfpLEd
3.1.4.1: Phosphodiesterase I,YFIchUDYQPbg
5.1.2.3: 3-hydroxybutyryl-CoA epimerase,nqDMTUpZfruc
4.1.1.7: Benzoylformate decarboxylase,vKUnXiBPwQrt
1.3.99.33: Urocanate reductase,wtrNmLzgUZTZ
6.3.2.29: Cyanophycin synthase (L-aspartate-adding),DgGbZXwqMORo
3.4.19.13: Glutathione hydrolase,bFElNTPXttpS
1.1.1.163: Cyclopentanol dehydrogenase,UmGBxwCsAUWK
"2.6.1.92: UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase",JBkDwStMIWLP
6.3.2.39: Aerobactin synthase,BnhFutrmbaej
1.14.13.127: 3-(3-hydroxy-phenyl)propanoic acid hydroxylase,kJctYRMsdLOG
1.2.1.59: Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating),QGLYNCaQlbMB
6.3.5.1: NAD(+) synthase (glutamine-hydrolyzing),aSYZPnEFkNwB
2.4.1.166: Raffinose--raffinose alpha-galactosyltransferase,RBLVctjsBTQt
3.5.4.9: Methenyltetrahydrofolate cyclohydrolase,knRUtpEplylP
2.3.1.111: Mycocerosate synthase,UnKddIzslbDI
"3.2.1.67: Galacturan 1,4-alpha-galacturonidase",lePWiyikBEbO
2.7.8.23: Carboxyvinyl-carboxyphosphonate phosphorylmutase,tLrknBkfenrq
2.4.1.230: Kojibiose phosphorylase,IvsjGnFVDlir
4.1.99.1: Tryptophanase,tYaxiXqHytzr
4.1.1.98: 4-hydroxy-3-polyprenylbenzoate decarboxylase,QDBKZeveZEXN
3.6.3.38: Capsular-polysaccharide-transporting ATPase,ZVqQoVNPpaBC
3.1.3.23: Sugar-phosphatase,fOyOAwCyYydt
4.99.1.1: Ferrochelatase,QAVRgNvVSGnP
2.4.1.227: acetylglucosaminyltransferase,TARVuDoSzpue
1.21.98.4: NO_NAME,tEKnlDXxAJlW
3.5.1.126: NO_NAME,otgGzZJeFImD
"2.1.1.52: Transferred entry: 2.1.1.171, 2.1.1.172, 2.1.1.173 and 2.1.1.174",jBHHNPSrPyHM
"5.4.3.9: Glutamate 2,3-aminomutase",ShPDePfMHowM
1.1.1.159: 7-alpha-hydroxysteroid dehydrogenase,bUMmWGvRMkEJ
1.3.8.4: Isovaleryl-CoA dehydrogenase,lDepgRscFsOq
1.3.1.74: 2-alkenal reductase (NAD(P)(+)),XboCDlgJtSqh
3.5.1.102: deformylase,QofjygNzTtoS
4.2.1.52: Transferred entry: 4.3.3.7,sZsFlTpnkmwq
1.6.6.9: Trimethylamine-N-oxide reductase,flVMzByDJWZJ
4.1.2.29: 5-dehydro-2-deoxyphosphogluconate aldolase,klMhFjFfiHat
2.3.1.184: Acyl-homoserine-lactone synthase,CHWSOJEMrLrY
5.3.1.17: 5-dehydro-4-deoxy-D-glucuronate isomerase,wDHYZSvaLfhI
2.7.7.49: RNA-directed DNA polymerase,CQqQMTvkNWbR
2.7.1.17: Xylulokinase,pIGvYLjUwRAN
2.7.7.59: [Protein-PII] uridylyltransferase,dxWguMkmgZIU
1.14.99.48: Heme oxygenase (staphylobilin-producing),GuFderHQUZTn
3.2.1.49: Alpha-N-acetylgalactosaminidase,ZbMtVNXTtcfO
2.5.1.145: NO_NAME,TGnGNpxZfNEC
4.1.2.2: Ketotetrose-phosphate aldolase,uNgfgHFFsPSG
1.1.1.269: 2-(S)-hydroxypropyl-CoM dehydrogenase,cLjJihHhCTkf
2.7.1.45: 2-dehydro-3-deoxygluconokinase,zHXqrJAGbjQt
1.2.99.7: Aldehyde dehydrogenase (FAD-independent),VwSFtRAoyxBe
1.2.1.n2: Fatty acyl-CoA reductase,LxTPEBphnLLv
1.14.13.1: Salicylate 1-monooxygenase,GeLLGHSvApPG
"4.1.1.68: 5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase",fnzkBQjRZFTe
1.1.5.4: Malate dehydrogenase (quinone),HYChCbcRWtWu
1.1.1.169: 2-dehydropantoate 2-reductase,eYNhiGGDDhUV
2.7.1.156: Adenosylcobinamide kinase,pkgpcniXziuO
2.7.1.5: Rhamnulokinase,gUwwVBiJQnIQ
1.11.1.9: Glutathione peroxidase,EhGpXYrlAASd
1.1.1.67: Mannitol 2-dehydrogenase,meqcIUWUEBpR
5.4.2.9: Phosphoenolpyruvate mutase,uUqbfcJGBQJf
3.5.3.12: Agmatine deiminase,blCDKznxDFKE
6.3.1.20: NO_NAME,QuGIMRDgZeae
3.1.3.6: 3'-nucleotidase,ICTDQGkYbbyN
1.7.1.6: Azobenzene reductase,FHBohXgdDhkS
1.3.99.16: Isoquinoline 1-oxidoreductase,CoQgBCRJoRBw
"3.2.1.33: Amylo-alpha-1,6-glucosidase",yjkivhnzmtPG
2.1.1.133: Precorrin-4 C(11)-methyltransferase,GDHRwiUoDsii
2.7.1.121: Phosphoenolpyruvate--glycerone phosphotransferase,EzzSDnemstJp
6.3.4.15: Biotin--[acetyl-CoA-carboxylase] ligase,KCYxRNuinydz
6.3.2.38: N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase,wbdfvEcJvITO
2.7.1.180: FAD:protein FMN transferase,EfvaATOzRDFz
3.6.3.16: Arsenite-transporting ATPase,RopXgGYdTxmw
1.5.1.42: FMN reductase (NADH),ZJlrsMZfAOQM
2.6.1.82: Putrescine aminotransferase,eAlCXtFHerYK
1.7.2.5: Nitric-oxide reductase (cytochrome c),ZNqgYeJnQSMG
1.17.5.2: Caffeine dehydrogenase,cwZSvMBNtWop
"3.2.1.133: Glucan 1,4-alpha-maltohydrolase",aMggKrOlWhIW
3.6.1.67: Dihydroneopterin triphosphate diphosphatase,fPRfismSPStv
2.3.1.47: 8-amino-7-oxononanoate synthase,TbDXSBPWrNeb
2.4.1.21: Starch synthase,gIOMjzSGOTfI
2.4.2.2: Pyrimidine-nucleoside phosphorylase,rXnPchsrMYSo
6.1.1.15: Proline--tRNA ligase,LRXPSAzpfxPF
3.6.3.34: Iron-chelate-transporting ATPase,rIPBKpOIXDyf
1.1.1.287: D-arabinitol dehydrogenase (NADP(+)),MwBXhOIpSBxM
6.2.1.14: 6-carboxyhexanoate--CoA ligase,IUQRONUprQku
4.2.2.7: Heparin lyase,KPoXZniiOJBB
4.2.1.104: Cyanase,UBXzTKMMNBuO
2.5.1.54: 3-deoxy-7-phosphoheptulonate synthase,xNWcPQEArqKo
2.8.1.13: tRNA-uridine 2-sulfurtransferase,FrCjFHwuzFcY
3.4.17.19: Carboxypeptidase Taq,NELQgxsStAlh
2.4.1.182: Lipid-A-disaccharide synthase,whosdWdyyIhw
2.3.1.n5: transferring),tjrjIMWldXXd
2.6.1.19: 4-aminobutyrate--2-oxoglutarate transaminase,ckQEAsDvHQHp
2.7.1.24: Dephospho-CoA kinase,sKjsOvcsPZLB
3.2.1.38: Beta-D-fucosidase,WUUmROroLzjZ
6.1.1.21: Histidine--tRNA ligase,JzrIuVRAHast
4.1.1.22: Histidine decarboxylase,ZRKVVzsKToUM
2.5.1.48: Cystathionine gamma-synthase,uzzcXATfYxOr
3.4.23.51: HycI peptidase,ivLYjXAMxIRh
1.1.1.27: L-lactate dehydrogenase,FjefOtKWmDrX
2.7.7.n1: Adenosine monophosphate-protein transferase,JThvpIGJmMcO
"3.2.1.8: Endo-1,4-beta-xylanase",XCPZvjTSfQeK
4.2.1.81: D(-)-tartrate dehydratase,KBQCWcksMqIf
1.2.1.71: Succinylglutamate-semialdehyde dehydrogenase,zmqdabOTrgfe
1.2.1.11: Aspartate-semialdehyde dehydrogenase,boesjhgIpYKy
2.4.1.25: 4-alpha-glucanotransferase,PnAEUzPQTegc
6.5.1.2: DNA ligase (NAD(+)),xZBUamRfCnYJ
6.3.5.10: Adenosylcobyric acid synthase (glutamine-hydrolyzing),fSeJgaQOCoHB
2.7.1.33: Pantothenate kinase,VekTlEuZrwEp
2.3.1.225: Protein S-acyltransferase,orjaeMpgiVJt
2.3.3.13: 2-isopropylmalate synthase,jOloLixCYEdd
5.1.3.14: UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing),pHnovmFEoJjc
6.3.2.49: L-alanine--L-anticapsin ligase,vRcpIixIpifE
2.7.7.8: Polyribonucleotide nucleotidyltransferase,ozIQpJkQydVj
5.3.1.3: D-arabinose isomerase,FASQyqUTBmGS
1.2.1.25: 2-oxoisovalerate dehydrogenase (acylating),PlRpJUlfCMVb
1.11.1.1: NADH peroxidase,hPjkTWSqwjko
2.7.7.19: Polynucleotide adenylyltransferase,KIoAhXfeqXbr
1.1.1.11: D-arabinitol 4-dehydrogenase,ZWaxygRwriXM
2.7.1.39: Homoserine kinase,amcgJqmqrRYM
2.7.7.2: FAD synthetase,SeljWRHxOYLR
1.4.1.1: Alanine dehydrogenase,dLPrBBhrqgvA
4.2.1.11: Phosphopyruvate hydratase,KyVpUtEJbboD
2.5.1.15: Dihydropteroate synthase,bGlHzeXcsHHV
2.1.1.130: Precorrin-2 C(20)-methyltransferase,UJNIziMmoOKV
2.4.2.48: tRNA-guanine(15) transglycosylase,ofieMreThyhm
2.7.7.85: Diadenylate cyclase,ZZJOeAkoTHTI
3.5.2.19: Streptothricin hydrolase,tJTZvgRTXPsG
2.1.1.271: Cobalt-precorrin-4 methyltransferase,MQzUpptEBbRm
4.1.1.5: Acetolactate decarboxylase,tTTiiLsFESvr
2.7.1.49: Hydroxymethylpyrimidine kinase,toUuYPnMIBqO
2.5.1.42: Geranylgeranylglycerol-phosphate geranylgeranyltransferase,dgaZfInywbmQ
3.1.13.4: Poly(A)-specific ribonuclease,BrSYGIacGvNH
2.7.7.9: UTP--glucose-1-phosphate uridylyltransferase,ZXSWWUVpGAkM
4.1.3.34: Citryl-CoA lyase,PaPQPKWacpJL
2.6.1.51: Serine--pyruvate transaminase,ewnNtWTHeONe
3.4.19.3: Pyroglutamyl-peptidase I,RgmREVYcrmyy
3.1.3.12: Trehalose-phosphatase,QEmSeZtzJmLA
2.7.1.73: Inosine kinase,rpghLxwDxIqj
2.5.1.39: 4-hydroxybenzoate polyprenyltransferase,kCBTFxllVEJt
1.1.1.43: Phosphogluconate 2-dehydrogenase,UUajmqxyjfYr
2.7.1.201: NO_NAME,sCXThOWaycDI
6.1.1.5: Isoleucine--tRNA ligase,lrUkyTwRCSyR
3.1.6.14: N-acetylglucosamine-6-sulfatase,lyGtNSMzbIZj
2.6.1.34: UDP-N-acetylbacillosamine transaminase,HlVvUUXGJHEA
4.1.1.86: Diaminobutyrate decarboxylase,SqMawvmhGZpg
3.1.3.29: N-acylneuraminate-9-phosphatase,jpXacZmdFUBb
3.1.3.16: Protein-serine/threonine phosphatase,uktkQSSOHLEu
2.7.7.43: N-acylneuraminate cytidylyltransferase,JLyCLQEBBvvs
1.1.1.308: Sulfopropanediol 3-dehydrogenase,LrerYbqMAREg
"3.2.1.102: Blood-group-substance endo-1,4-beta-galactosidase",rxINckEWsjef
6.3.2.6: Phosphoribosylaminoimidazolesuccinocarboxamide synthase,jvckvmyetHnd
1.14.13.48: (S)-limonene 6-monooxygenase,PfbXrPMtTnBl
4.1.99.19: 2-iminoacetate synthase,EqolAyTElPYf
1.1.1.105: All-trans-retinol dehydrogenase (NAD(+)),RFQETACwWoWu
4.2.1.82: Xylonate dehydratase,NzxidvEEHtwy
2.5.1.52: L-mimosine synthase,cfnkRCAUBNeA
4.1.1.83: 4-hydroxyphenylacetate decarboxylase,xecMgReojVzF
3.2.1.97: Endo-alpha-N-acetylgalactosaminidase,PZEFaCbvDWHc
6.3.4.13: Phosphoribosylamine--glycine ligase,cPlbSSpuNdpG
5.1.1.7: Diaminopimelate epimerase,gYYWsgKiIoLw
"5.4.2.11: Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)",ehrwQatLOqEN
2.1.1.101: Macrocin O-methyltransferase,wVoWFdXKywpc
3.2.1.54: Cyclomaltodextrinase,bdNZtTpsrYto
3.5.3.18: Dimethylargininase,YxvygxCcurHP
2.6.1.87: UDP-4-amino-4-deoxy-L-arabinose aminotransferase,kIjldpKvfagC
1.5.1.2: Pyrroline-5-carboxylate reductase,GxSxcfazWXBh
3.2.1.41: Pullulanase,NBlwpwRfqxZE
4.2.2.1: Hyaluronate lyase,QjovySbXIGmM
6.3.4.6: Urea carboxylase,lgBxXvxeGejj
2.7.1.87: Streptomycin 3''-kinase,sWzcBjyYwbWs
3.8.1.8: Atrazine chlorohydrolase,mYBHNeVjyAeX
3.2.2.3: Uridine nucleosidase,heLgDSBmkqBO
2.5.1.41: Phosphoglycerol geranylgeranyltransferase,sEveOuoKRUvk
"5.4.3.2: Lysine 2,3-aminomutase",wnnTTCQRMwaO
2.6.1.44: Alanine--glyoxylate transaminase,vkbJhJvjMIfF
1.5.98.1: Methylenetetrahydromethanopterin dehydrogenase,jpnacOSDOkuL
2.3.1.88: Peptide alpha-N-acetyltransferase,GWmoeHqDrLJg
4.2.1.96: 4a-hydroxytetrahydrobiopterin dehydratase,TyVdpCdPVBxO
5.4.99.21: 23S rRNA pseudouridine(2604) synthase,KZSbfrPOVfDq
1.1.1.255: Mannitol dehydrogenase,QZzqKcBMBrXJ
5.4.99.62: D-ribose pyranase,NoYPFKcmnIkF
3.4.23.49: Omptin,hhRDrifpepwN
5.1.99.3: Allantoin racemase,eRSGbdPaXETA
2.4.1.284: 2-deoxystreptamine glucosyltransferase,qxptlYeicjbp
3.5.1.1: Asparaginase,OsXONWogZzTR
6.3.2.5: Phosphopantothenate--cysteine ligase,ZzavFsQooRSw
2.3.1.20: Diacylglycerol O-acyltransferase,omdhwNqEIclJ
2.3.1.89: Tetrahydrodipicolinate N-acetyltransferase,TYIRswpFmLoc
3.5.1.23: Ceramidase,YmjoQOEutCJz
1.2.1.46: Formaldehyde dehydrogenase,OrFpMbiihYiz
3.2.1.45: Glucosylceramidase,mbpWOpbTmifx
2.3.2.16: Lipid II:glycine glycyltransferase,rCyglRKwZHGh
3.1.1.88: Pyrethroid hydrolase,TIzBkuWmPPMu
4.1.2.50: 6-carboxytetrahydropterin synthase,sDpKDDJDmnLz
2.1.3.2: Aspartate carbamoyltransferase,CRlzZRKqaddW
2.7.4.22: UMP kinase,YxsJOjXpGtnL
6.3.2.37: UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--D-lysine ligase,PdrxRWUPCpDZ
"4.1.2.56: 2-amino-4,5-dihydroxy-6-oxo-7-(phosphonooxy)heptanoate synthase",HUZgQqoNiHPV
3.4.21.66: Thermitase,ghsUxDyoFopf
6.1.1.14: Glycine--tRNA ligase,zlflePaSveIN
3.1.3.90: Maltose 6'-phosphate phosphatase,YYWMnVKZFbim
